"program";"beneficient";"project_value";"cofinancing_value";"category";"many_administrative_units";"thumbnailImageUrl";"thumbnailImageUrl_wojewodztwo";"url";"outside_id";"powiat";"thumbnailImageUrl_program";"dzialanie";"fundusz";"perspektywa";"opisProjektu"
"Rewaloryzacja Zespołu Opactwa Cystersów wraz z otoczeniem w Krzeszowie";"Diecezja Legnicka";"13369999.28";"9506695.05";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/uploads/core_media/37314/5_37314.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/547661/";"547661";"kamiennogórski";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";"<p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Zespół pocysterskiego opactwa w Krzeszowie zyskał nowe życie. Przede wszystkim otworzył się na zwiedzających, którzy mogą skorzystać z usług przewodnika, a po fascynującej podróży w głąb sacrum posilić się w lokalnej restauracji i zatrzymać na nocleg w klasztorze Benedyktynek.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Jest tu wszystko, czego szuka i pielgrzym, i turysta: ukoronowany przez papieża Jana Pawła II obraz Krzeszowskiej Madonny w bazylice mniejszej Wniebowzięcia NMP, Mauzoleum Piastów Śląskich, kościół św. Józefa z freskami Michała Willmanna (historie z życia Świętej Rodziny pełne nawiązań do czasów współczesnych twórcy) czy kalwaria krzeszowska. Bazylika kryje więcej skarbów: malowidła i rzeźby znakomitych artystów, a także barokowe organy zbudowane przez Michaela Englera. Poddane rewaloryzacji, „odmłodniały” o kilkaset lat w pracowni drezdeńskiej firmy Jehmlich. Dźwięk dobywający się z 2,5 tys. piszczałek instrumentu robi wrażenie.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Krzeszów leży na Europejskim Szlaku Cysterskim, który pokazuje wspólne dziedzictwo kulturowe narodów Europy. Cystersi, należący do najstarszych zakonów (XI w.), w ciągu wieków dali się poznać jako solidni gospodarze – przyczynili się do rozwoju rolnictwa, ogrodnictwa czy browarnictwa. Krzeszów zmienia się zgodnie z tym gospodarskim podejściem braci szarych. Przy wejściu do opactwa gości witają eleganckie tablice informacyjne. Zadbane (także dzięki funduszom) alejki prowadzą w kilku kierunkach – do bazyliki, do kościoła św. Józefa oraz do klasztoru Benedyktynek. W jednym z budynków opactwa, widocznym już od bramy, znajduje się biuro obsługi pielgrzyma, gdzie mieści się punkt informacji turystycznej i sklepik z pamiątkami. Tuż obok jest elegancka restauracja z kominkiem.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>W całym zespole świeżą elewacją wyróżnia się klasztor Benedyktynek. Mniszki oferują teraz 25 miejsc noclegowych w 7 wyremontowanych pokojach. Starsza część klasztoru jest również udostępniona gościom. Nocleg w tym miejscu pozwala doświadczyć niespotykanej gdzie indziej ciszy. W klasztorze jest biblioteka i sala konferencyjna z zapleczem (odbywają się tu szkolenia, spotkania młodzieży i konferencje naukowe).</span></p>"
"Promocja markowych produktów turystycznych Dolnego Śląska";"Województwo Dolnosląskie";"9168178.0";"6853258.5";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/uploads/core_media/501138/promocja_markowych_produktow_turystycznych_Dolnego_Slaska_6.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/569007/";"569007";"";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";"<p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Hasło dziewięciomiesięcznej kampanii promującej atrakcje Dolnego Śląska brzmiało „To je výborné! Das ist super! Dolny Śląsk”. Celem było zwiększenie ruchu turystycznego przez wypromowanie ośmiu markowych produktów turystycznych oraz zbudowanie świadomości marki regionu, m.in. przez stworzenie logo i zaistnienie w mediach.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Trwałym efektem projektu jest wprowadzenie i utrwalenie ośmiu kierunków ruchu turystycznego w ramach programów: „Karkonosze i turystyka aktywna”, „Pałace, zamki i dziedzictwo kultury Dolnego Śląska”, „Uzdrowiska dolnośląskie”, „Cystersi na Dolnym Śląsku i turystyka pielgrzymkowa”, „Dolnośląskie podziemia i fortyfikacje militarne”, „Agro- i ekoturystyka dolnośląska”, „Turystyka weekendowa” oraz „Turystyka biznesowa i konferencyjno-kongresowa”.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Kampania skierowana była głównie do odbiorcy krajowego, ale wielojęzyczne hasło reklamowe dawało szansę zetknięcia się z ofertą również turyście zagranicznemu. 120 emisji 30-sekundowego spotu telewizyjnego, 510 billboardów w ośmiu największych miastach Polski, reklama w pociągach Intercity i na promach płynących do Skandynawii, reklama bannerowa na znanych polskich portalach internetowych, udział w prestiżowych międzynarodowych targach turystycznych, 13 wizyt studyjnych z udziałem ponad 120 dziennikarzy i touroperatorów z kraju i zagranicy, stworzenie interaktywnego serwisu internetowego www.turystyka.dolnyslask.pl w sześciu wersjach językowych, publikacje reklam w opiniotwórczych tytułach prasy krajowej i zagranicznej oraz w czasopismach linii lotniczych, 300 tysięcy egzemplarzy folderów, 50 tysięcy egzemplarzy prezentacji multimedialnej, mapy, informator, drobne materiały promocyjne w pięciu wersjach językowych – tak szeroko zakrojona akcja promocyjna zagwarantowała sukces przedsięwzięcia.</span></p>"
"Remont i modernizacja Muzeum Miejskiego Wrocławia -etap II";"Miasto Wrocław";"9986751.01";"4525326.66";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/uploads/core_media/514718/remont_i_modernizacji_Muzeum_Miejskiego_Wroclawia_3.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/580378/";"580378";"m. Wrocław";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";"<p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Wyróżniający się odświeżoną fasadą obiekt przy ulicy Kazimierza Wielkiego we Wrocławiu to dawny Pałac Królewski, od 1750 r. należący do Fryderyka II Wielkiego, kiedy to miasto przez pewien czas pełniło funkcję jednej z trzech stolic państwa pruskiego. Wchodząc na dziedziniec pałacu, oczom zwiedzających ukazują się słupy z datami – wskazują one kamienie milowe w historii miasta, ważne zmiany w jego dziejach. Wydarzenia te wybrali sami wrocławianie w plebiscycie zorganizowanym przez lokalną gazetę.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Historia Wrocławia, którego tysiącletnie dzieje prezentuje znajdujące się w tym miejscu Muzeum Miejskie Wrocławia, jest złożona, ale muzealnikom udało się ukazać ją bez uprzedzeń i politycznych inklinacji. Wystawę ułożono w porządku wyznaczonym przez owe kamienie milowe. W kwietniu 2009 r., po długim i kosztownym remoncie, który pochłonął około dziesięć milionów złotych, pałac został udostępniony zwiedzającym. Wrocławskie muzeum prezentuje trzy tysiące eksponatów z całego tysiąclecia. Sale muzealne mają nowoczesny charakter, współgrający z barokowo-klasycystycznym stylem obiektu.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Wszystkie eksponaty opisano w trzech językach: polskim, niemieckim i angielskim. Kioski multimedialne i guideporty, z którymi zwiedzający łączą się poprzez zestawy słuchawkowe, również zostały wyposażone w dwie dodatkowe wersje językowe. Dzięki temu wystawę chętnie przemierzają obcokrajowcy – najczęściej Niemcy, Holendrzy, Anglicy i Francuzi. Różnorodne rozwiązania audiowizualne i odpowiednie oświetlenie sprawiają, że zwiedzanie obiektu staje się przyjemniejsze, <br>a ekspozycje mogą być postrzegane w różnorodny sposób. Monitoring (zainstalowano tu ponad sto kamer), systemy zabezpieczeń i klimatyzacja zapewniają spełnianie najwyższych standardów muzealnych, dzięki czemu placówka otrzymuje w depozyt wiele cennych skarbów pochodzących <br>z innych muzeów oraz od osób prywatnych.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Obiekt został w pełni dostosowany do potrzeb niepełnosprawnych. Poza tym osoby chcące odpocząć <br>w trakcie podróży do źródeł kulturowej tożsamości Wrocławia mogą udać się do podziemi muzeum na kawę i pyszny jabłecznik. W cieplejszych porach roku zwiedzający znajdą też ukojenie w odrestaurowanym barokowym ogrodzie. Sąsiedztwo – świątynie czterech wyznań, odnowiona opera oraz powstające Forum Muzyki – sprawia, że wzrasta ranga tego miejsca jako wehikułu śląskiej kultury.</span></p>"
"Modernizacja i konserwacja zabytkowej baszty oraz zespołu pałacowo-parkowego w Żmigrodzie";"Gmina Miejska Żmigród";"5642180.36";"3868444.45";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/uploads/core_media/37315/modernizacja_i_konserwacja_zabytkowej_baszty_w_Zmigrodzie_2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/547667/";"547667";"trzebnicki";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";"<p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Któż nie zna legendy o smoku zamieszkującym jaskinię pod miastem, który pożerał ludzi i zwierzęta? Miejscem akcji tej historii nie jest jednak Wawel, lecz Żmigród położony nad rzeką Barycz.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Smok w herbie tego miasta uosabia lęki mieszkańców dawnego grodu przed najazdami walecznych Hunów, Awarów i Madziarów. W XIV w. na lewym brzegu rzeki wzniesiono zamek, a w 1560 r. w obrębie jego murów postawiono wieżę obronną. Rozbudowany w latach 1655-1657 przez Melchiora Hatzfelda, ówczesnego właściciela Żmigrodu, w drugiej połowie XVIII stulecia został przekształcony w barokową rezydencję magnacką, w której otoczeniu zaplanowano duży park. W czasie II wojny światowej pałac tylko nieznacznie ucierpiał, ale powojenne czasy okazały się dla niego bezlitosne. Spalony i rozgrabiony obrócił się w ruinę, przetrwała jedynie baszta.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>– Przez dziesiątki lat niszczał obiekt z ogromnym potencjałem – mówi Dariusz Skiba, zastępca burmistrza Żmigrodu. „Przeprowadziliśmy gruntowne studia dotyczące sposobów przywrócenia tego miejsca do życia. Okazało się, że szacowane koszty całkowitej odbudowy pałacu wielokrotnie przekraczają możliwości budżetu miasta. Opracowano więc wariant tańszy, który obejmował modernizację i konserwację zabytkowej baszty oraz zespołu pałacowo-parkowego”.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Szansą okazało się dofinansowanie z Funduszy Europejskich. Dzięki otrzymanym środkom udało się uporządkować park, odtworzyć ścieżki, odrestaurować basztę (obecnie działa w niej punkt informacji turystycznej), wzmocnić i zabezpieczyć ruiny, a jedną z frontowych ścian – otynkować i pomalować. Z jednej strony pokazuje ona namiastkę dawnej świetności pałacu, z drugiej zaś stanowi niezwykłą scenerię dla wydarzeń kulturalnych, takich jak koncerty czy przedstawienia teatralne.W 2009 r. odbyło się tu międzynarodowe widowisko inspirowane symboliką Nocy Świętojańskiej zrealizowane dzięki staraniom Fundacji Semper Avanti. Na 2010 r. Żmigród przygotował kolejne atrakcje: inscenizację bitwy żmigrodzkiej w 1945 r. czy Święto Smoka.</span></p><p style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>– Chcemy wykorzystać malownicze położenie nad rzeką i dorobek Lokalnej Grupy Działania „Partnerstwo dla Doliny Baryczy”, która wypromowała wiele regionalnych produktów turystycznych (m.in. karpia milickiego, miody, spływy kajakowe).</span></p>"
"Rewaloryzacja zabytkowego Parku Zdrojowego w Kudowie Zdroju - etap II";"Miasto Kudowa Zdrój";"5597432.5";"3781698.26";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/uploads/2006/01/Rewaloryzacja-zabytkowego-Parku-Zdrojowego-w-Kudowie-Zdroju-2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/547658/";"547658";"kłodzki";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";""
"Moje miasto Zgorzelec - Goerlitz";"Gmina Miejska Zgorzelec";"239885.0";"173467.53";"kultura i sztuka, współpraca międzynarodowa";"NIE";"https://mapadotacji.gov.pl/wp-content/uploads/core_media/206832/4_206832.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/563142/";"563142";"zgorzelecki";"Interreg Polska-Saksonia";"F1.Poprawa wymiany transgranicznej w dziedzinie socjalnej i kulturalnej w celu wspierania identyfikacji ludności...";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";"<p class=MsoNormal style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Miasto Zgorzelec – Goerlitz ma szczególne znaczenie w regionie i stosunkach polsko-niemieckich. Jest świadectwem złożoności procesów historycznych, politycznych i ekonomicznych regionu. Szczególną rolę odgrywa w tym kontekście tworzenie i pogłębianie świadomości regionalnej, która jest niezbędnym czynnikiem dla rozwoju miasta, Dolnego Śląska i Saksonii.</span></p><p class=MsoNormal style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Celem projektu było likwidowanie barier wynikających z nieznajomości sąsiada, jego języka i zwyczajów, a przez to eliminowanie funkcjonujących negatywnych stereotypów.</span></p><p class=MsoNormal style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>W ramach projektu przeprowadzono cykl szkoleń dla nauczycieli w celu przygotowania ich do zajęć edukacyjnych z polsko-niemieckimi grupami uczniów, prowadzonych w formie warsztatów, wyjazdów i zajęć pozalekcyjnych. Grupą docelową projektu były 10-13-letni uczniowie szkół Zgorzelca i Görlitz oraz nauczyciele tych szkół. W ramach projektu uczniowie partnerskich szkół pracowali w czasie comiesięcznych spotkań, przeprowadzanych jednocześnie po obydwu stronach granicy. Uczniowie, pracując w równowiekowych, lecz dwujęzycznych grupach, poznawali ważne dla Zgorzelca i Görlitz miejsca świadczące o przeszłości historycznej, a także o możliwościach rozwoju regionu. Zajęcia prowadzone przez przygotowanych w trakcie szkoleń nauczycieli realizowały ścieżki edukacyjne: historyczną, regionalną, patriotyczną i ekologiczną.</span></p><p class=MsoNormal style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Zadaniem projektu było stworzenie polsko-niemieckiej sieci partnerskich szkół w mieście Zgorzelec-Görlitz, co w rezultacie wpływa na postawę uczniów Zgorzelca i Görlitz, umożliwiającą w przyszłości wspólne planowanie rozwoju Dolnego Śląska i Saksonii.</span></p><p class=MsoNormal style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Projekt proponuje nowoczesne spojrzenie na współpracę międzyszkolną, wprowadzając do zajęć elementy wychowania wielokulturowego. Powstałe w wyniku wspólnej realizacji projektu materiały dydaktyczne są obecnie wykorzystywane w ramach współpracy oświatowej w regionach przygranicznych.</span></p><p class=MsoNormal style=text-align: left><span style=font-family: arial,helvetica,sans-serif font-size: small>Projekt „Moje miasto Zgorzelec-Goerlitz” realizowany był równocześnie z projektem lustrzanym „Geschichte verstehen Zukunft gestalten” prowadzonym po stronie niemieckiej.</span></p>"
"Ochrona Dziedzictwa Kulturowego Śląska – Przebudowa i Zintegrowany Remont Konserwatorski Obiektów Muzeum Archidiecezjalnego oraz Adaptacja Biblioteki Archidiecezjalnej we Wrocławiu";"FUNDACJA DLA OSTROWA TUMSKIEGO WE WROCŁAWIU";"56997006.02";"39358246.37";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747066/";"747066";"m. Wrocław";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Zakres przedmiotowy projektu zintegrowanego obejmie wykonanie przebudowy, prac konserwatorskich, prac instalacyjnych w trzech niezależnych budynkach Muzeum oraz adaptacji budynku Biblioteki Archidiecezjalnej na cele użytkowe oraz wyposażenie obiektów instytucji kultury. Wszystkie wskazane prace są niezbędne dla osiągnięcia głównego celu projektu, którym jest uatrakcyjnienie oferty turystycznej miasta Wrocławia poprzez efektywne wykorzystanie obiektów dziedzictwa kulturowego oraz pełne ich udostępnieniu dla ruchu turystycznego. W ramach opracowania zaproponowano odrębne i niezależne funcje kulturalne i wystawiennicze dla poszczególnych obiektów Muzeum Archidiecezjalnego: – Budynku A (dawny Dom Kapituły Katedralnej) – jako Dom Kapituły będący muzeum okresu średniowiecza i historii kapituły – Budynek B (dawna kancelaria Kapituły Katedralnej) – jako Śląskie Niebo, muzeum gotyku, renesansu i baroku – Budynek C (dawne tzw. Nowe Archiwum Książęco-Biskupie oraz archiwum i biblioteka kapitulna) jako Stare Muzeum – Nowa Odsłona, muzeum sztuki od antyku po XX</p>"
"Rewaloryzacja dla potrzeb ruchu turystycznego oraz funkcji kulturalnych, zdegradowanych i niedostępnych części Pomnika Historii - Twierdzy Srebrna Góra, wraz z niezbędną infrastrukturą techniczną";"TWIERDZA SREBRNA GÓRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"26759808.34";"17787476.61";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/1338662/";"1338662";"ząbkowicki";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Przedmiotem projektu jest rewaloryzacja dla potrzeb ruchu turystycznego oraz funkcji kulturalnych, zdegradowanych i niedostępnych części Pomnika Historii – Twierdzy Srebrna Góra, wraz z niezbędną infrastrukturą techniczną. Twierdza Srebrna Góra to zespół zabytkowych dzieł fortyfikacyjnych, największa twierdza górska w Europie, wzniesiona w latach 1765-1777, wpisana do Rejestru Zabytków pod nr A-861, decyzją z 13 kwietnia 1961 r., uzyskała status Pomnika Historii rozporządzeniem Prezydenta RP z dnia 14 kwietnia 2004 r. Projekt podzielono na zadania: 1 – Rewaloryzacja zdegradowanych i niedostępnych części Twierdzy Srebrna Góra 2 – Działania promocyjne Celem projektu jest zachowanie i udostępnienie unikatowego zabytku architektury militarnej – Twierdzy Srebrna Góra. Projekt przyczyni się do zachowania obiektu dziedzictwa kulturowego dla przyszłych pokoleń i tworzy przestrzeń dla nowych form działalności kulturalnej. Wnioskodawcą i operatorem jest Twierdza Srebrna Góra Sp. z o.o. z siedzibą przy ul. Krętej 4, 57-215 Srebrna Góra. Projekt adresowany jest do szerokiej grupy odbiorców: dzieci, młodzieży, dorosłych i starszych. W głównej mierze odbiorcami projektu będą mieszkańcy Dolnego Śląska, dla których dedykowany jest program kulturowy. Projekt adresowany jest też dla turystów spoza Dolnego Śląska, którzy dzięki atrakcyjnej ofercie kulturalnej będą postrzegać zabytek jako atrakcyjny pod kątem turystyki kulturowej.</p>"
"Projekt i wykonanie systemu wystawienniczego optymalizującego możliwości aranżacyjne działań ekspozycyjnych i innych typów prezentacji kulturalnych w Muzeum Sztuki Współczesnej, oddziale Muzeum Narodowego we Wrocławiu, ul. Wystawowa 1";"MUZEUM NARODOWE WE WROCŁAWIU";"25398972.07";"16662550.0";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747091/";"747091";"m. Wrocław";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Zakres projektu obejmował zakup – dostawę z&nbspmontażem i&nbsppierwszą konfiguracją – wysokospecjalistycznego zintegrowanego wyposażenia:</p><ul><li>urządzeń oświetleniowych i multimedialnych wewnętrznych wraz ze sterowaniem,</li><li>urządzeń mechanicznych i konstrukcji (system demontowanych kratownic do budowania konstrukcji nośnych, modułowych),</li><li>demontowanej estrady,</li><li>elementów wyposażenia eventowego i wystawienniczego&nbsp (krzesła, system modułowych ścian),</li><li>systemu zaciemniającego sale wystawiennicze i okna w kopułach,</li><li>wyposażenia muzeum pod kątem osób niepełnosprawnych z dysfunkcją wzroku i słuchu (m.in. linie oznaczenia poziomego, pola uwagi, nakładki na poręcze, multimedialny terminal informacji ogólnej, plany tyflologicznych sal ekspozycyjnych Muzeum, zestawy przewodników z wypukłymi reprodukcjami, dźwiękowy system udostępniania obiektów, opisy i nagrania audiodeskrypcyjne, systemy audio, haptyczne systemy udostępniania obiektów),</li><li>kontentu multimedialnego.</li></ul><p>Dzięki realizacji projektu zwiększyła się różnorodność oferty kulturalnej oraz edukacyjnej Muzeum Narodowego we Wrocławiu.&nbspElementami kluczowymi do osiągnięcia tego efektu jest wykorzystanie potencjału nowoczesnych technologii, otwierających nie tylko nowe możliwości ekspozycyjne, ale także łamiące barierę komunikacyjną pomiędzy tradycyjną instytucją a nowym pokoleniem.</p><p>Zastosowane w projekcie technologie pozwalają pokierować procesem wystawienniczym w taki sposób, aby dostarczyć odbiorcy różnorodnych wrażeń oddziałujących na wszystkie zmysły. Odwiedzającym prezentowana jest sztuka (przy wykorzystaniu nowoczesnych systemów prezentacji) w taki sposób, aby&nbspdzieło sztuki&nbspsamo „przemawiało” do widza, ułatwiając mu jego odbiór i indywidualną interpretację.</p><p>Misją Muzeum jest stworzenie docelowo takiego miejsca, w którym odnajdą się zarówno miłośnicy sztuki, jak i osoby na co dzień ze sztuką nie obcujące oraz całe rodziny. Ma to na celu między innymi upowszechnienie sztuki współczesnej oraz uwrażliwienie społeczeństwa na jej odbiór.</p>"
"Odbudowa budynku Teatru im. Andreasa Gryphiusa w Głogowie";"GMINA MIEJSKA GŁOGÓW";"32040763.34";"14125036.97";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747021/";"747021";"głogowski";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Celem głównym projektu jest poprawa stanu technicznego obiektów dziedzictwa kulturowego miasta oraz ich wykorzystanie do celów kulturowo-turystycznych poprzez odbudowę, przebudowę i rozbudowę Teatru Miejskiego w Głogowie. Teatr Miejski mimo swojej lokalizacji w samym sercu głogowskiego Rynku jest w wyjątkowo złym stanie. Zniszczenie obiektu nastąpiło w czasie działań wojennych. Na skutek działania czynników zewnętrznych degradacja postępuje do dnia dzisiejszego. Obiekt jest całkowicie niedostępny dla zwiedzających. Dodatkowo zaburza estetykę zabytkowego Starego Miasta. Duży potencjał dziedzictwa kulturowego, jakim jest obiekt Teatru Miejskiego, jest w chwili obecnej niewykorzystywany. W Głogowie brakuje instytucji posiadającej bogatą ofertę teatralną. Miejski Ośrodek Kultury nie dysponuje salą, która pozwalałaby na realizację profesjonalnych spektakli teatralnych. Inicjatywa odbudowy, przebudowy i rozbudowy Teatru Miejskiego w Głogowie powstała głównie z przekonania, iż mając na względzie ochronę dziedzictwa kulturowego oraz doceniając wartości lokalizacyjne i architektoniczne obiektu, należy podjąć odpowiednie działania w celu zachowania zabytkowej substancji obiektu oraz umożliwienia udostępnienia go odwiedzającym.</p>"
"Renowacja zabytkowego zespołu pałacowo – parkowego w Jeleniej Górze i jego adaptacja na centrum kultury";"MIASTO JELENIA GÓRA";"11453210.1";"9053663.18";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/1295303/";"1295303";"m. Jelenia Góra";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Przedmiot projektu: konserwacja, renowacja i adaptacja na cele kulturalne zabytkowego zespołu pałacowo – parkowego: kompleksu budynków secesyjnych z początku XX w. wpisanego do rejestru zabytków pod nr (A/5025/814/J) wraz z otaczającym go parkiem, oraz ich turystyczne udostępnienie. Wnioskodawca/Beneficjent/Realizator projektu: Miasto Jelenia Góra. Użytkownik/Operator: Osiedlowy Dom Kultury(nr wpisu do Rejestru Instytucji Kultury MJG:RIK 5/92), zwany w dalszej części wniosku jako centrum kultury. Lokalizacja: ul. Aleja Jana Pawła II 18 w Jeleniej Górze – dz. nr 5/20 i 5/21, ob. 0060, jedn. ew. 026101_1. ZAKRES RZECZOWY: 1.Prace budowlano – konserwatorskie:budynku A(willi w zespole), budynku B(leżakownia) oraz altany(C -ptaszarnia). W latach 2014 – 2015 wykonano remont dachu bud. A wraz z wymianą pokrycia dachowego i ociepleniem. 2.Zagospodarowanie terenu: reorganizacja ścieżek, rewitalizacja ogrodzenia, alpinarium oraz sadzawki, plac manewrowy, mała architektura 3.Zakup wyposażenia i sprzętu niezbędnego do rozpoczęcia funkcjonowania w obiekcie centrum kultury 4.Działania promocyjne: tablica informacyjno-pamiątkowa, oznakowanie wyposażenia, informacje na stronie internetowej Miasta Jelenia Góra, akcja promocyjna w mediach lokalnych i regionalnych. Infrastruktura objęta projektem po zakończeniu inwestycji zostanie nieodpłatnie przekazana centrum kultury i będzie w całości wykorzystywana na cele działalności kulturalnej. Zespół pracowników Urzędu Miasta Jelenia Góra, doświadczony w realizacji projektów UE oraz przeprowadzaniu zamówień publicznych zgodnie z ustawą PZP, będzie wdrażał projekt we współpracy z dyrektorem centrum kultury. Nadzory nad inwestycją sprawować będą zewnętrzni inspektorowie nadzoru autorskiego, inwestorskiego, konserwatorskiego i archeologicznego zgodnie z wymaganymi przepisami prawa. Wnioskodawca posiada wszystkie niezbędne decyzje umożliwiające przystąpienie do realizacji inwestycji.</p>"
"Rewitalizacja folwarku w Bukowcu w celu utworzenia Centrum Kulturalno - Edukacyjnego";"FUNDACJA DOLINY PAŁACÓW I OGRODÓW KOTLINY JELENIOGÓRSKIEJ";"12636693.85";"8698609.2";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747065/";"747065";"karkonoski";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Celem projektu jest ochrona obiektu zabytkowego jakim jest zespół pałacowo-parkowy w Bukowcu położony na obszarze uznanym przez Prezydenta RP za Pomnik Historii. W obiekcie tym zostanie utworzone Centrum Kulturalno – Edukacyjne, zaspokajające potrzeby kulturalno-edukacyjne mieszkańców oraz umożliwiające kształtowanie i rozwój umiejętności osób uzdolnionych artystycznie.</p>"
